Sport,Club,Website,Phone Number,Email,Address,Postcode,Latitude,Longitude,What 3 Words ,Membership Requirement,Membership Type,Price Range,Pricing Notes,Taster Session,Booking Required,Target Audience,Venue Type,Session Format,Session Notes,Monday,Monday,Tuesday,Tuesday,Wednesday,Wednesday,Thursday,Thursday,Friday,Friday,Saturday,Saturday,Sunday,Sunday,,LAST UPDATED,DATA CONFIDENCE
"Heya, how's it going? I’m Cian and was just curious about the club and had a few q’s if you don’t mind answering :) 1. What sessions take place each week with the club - days/times/location. 2. Is there anything that you need from a new participant before their first session (do they need to book/ pay ahead of time)? 3. Where is the best place for new members to contact you (IG/email/phone number) and lastly 4. Do you offer any free taster sessions? That’s it! I’m starting up a non-profit and in the middle of developing a website - I’ve been trying to get a picture of sports participation within the adult community so really appreciate you taking the time to provide some additional info around the club! A follow would be much appreciated too (so at least it makes it LOOK like I know what I’m doing)!",,,,,"Hi there, I’m Cian - a  sports science student and I’m working on a dissertation to do with the impact of the availability of clubs such as yours on mental health and would really appreciate it if you took the time to answer my questions. I have made this questionnaire entirely confidential and these results will be used for a study that will hopefully shine a light on our community sports! Thanks for taking the time to answer. Thanks and have a good day :)",https://docs.google.com/forms/d/e/1FAIpQLScJNoHVnaz8rtq4A-50aecZds0xEep1GttB9o5G9rKLr5d-ug/viewform?usp=dialog,,,,,,,,,,,,,,St.,Fin.,St.,Fin.,St.,Fin.,St.,Fin.,St.,Fin.,St.,Fin.,St.,Fin.,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.manchesterhalfmarathon.com/find-a-club/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Not A Running Club,https://www.instagram.com/notarunningclub/?next=%2Fc.hut10%2F,,,"Co-op Food, Burton Road, West Didsbury",M20 2LN,,,,,,,,,,,,,,,,,,,,19:00,20:30,,,,,,,,,
,Just A Run Club,https://www.instagram.com/p/DPQzu-ojA1G/?next=%2Fc.hut10%2F,,,Rain Bar,M1 5JG,,,,,,,,,,,,,,,,18:30,20:00,,,,,,,,,,,,,
,,,,,,M3 7GH,,,,,,,,,,,,,,,,,,,,,,,,9:00,10:30,,,,,
,Blaze Run Club,https://www.instagram.com/blazerunclub/?next=%2Fc.hut10%2F,,,Holland & Barrett - Market Street,,,,,,,,,,,,,,,,,,,18:30,20:00,,,,,,,,,,,
,Ancoat Run Club,https://www.ancoatsrunclub.co.uk/faq,,,"82 Redhill St, Manchester ",M4 5BA,,,,,,,,,,,,,,7:15,8:30,,,7:15,8:30,,,7:15,8:30,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,18:30,20:00,,,18:30,20:00,,,,,,,,,
,Snappy Runners,https://www.instagram.com/snappy_runners/,,,"Ancoats, Cutting Room ",,,,,,,,,,,,,,,,,,,,,,,,,9:30,11:00,,,,,
,Tiny Moves Run Club ,,,,Nell's NQ ,,,,,,,,,,,,,,,18:30,20:00,,,,,,,,,,,,,,,
,Wythenshawe & Northenden Runners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Didsbury Runners,https://didsburyrunners.co.uk/,,,Didsbury Sports Ground,,,,,,,,,,,,,,,18:30,20:00,,,,,,,,,,,,,,,
,,,,,Trafford Athletic Club track in Longford Park,,,,,,,,,,,,,,,,,,,,,18:30,19:30,,,,,,,,,
,RunThrough North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Levenshulme Runners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manchester Road Runners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manchester Frontrunners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mile Shy Club,,,,Victoria Park,M27 4UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Radcliffe AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allpress Espresso Run Club ,,,,"3, Redfern Building, Dantzic St, Manchester ",M4 4AH,,,,1st/3rd Thur of the month 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,
,One Foot Forward ,,,,"Track Brewing, Unit 18, Piccadilly Trading Estate, Manchester ",M1 2NP,,,,Wed 18:00 ,,,,,,,,,,,,,,18:00,19:30,,,,,,,,,,,
,Moor Road Runners,,,,,,,,,Everyday of the week!,,,,,,,,,,,,,,,,,,,,,,,,,,
,Redacted Run Club,,,,"New Islington Marina Prom, Manchester",M4 6BX,,,,,,,,,,,,,,,,,,18:30,20:00,,,,,,,,,,,
,,,,,Etihad Campus,M11 3FF,,,,,,,,,,,,,Once a month,,,,,18:30,20:00,,,,,,,,,,,
